model,mean_test_score,std_test_score,mean_train_score,overfit_gap,fit_time_sec,used_tuned_params,status
lightgbm,0.9295867941994107,0.0029223410459913485,0.9553242649424158,0.025737470743005142,1.37,False,ok
xgboost,0.92492340763795,0.002203328127619278,0.971988824342431,0.047065416704480945,1.71,False,ok
gradient_boosting,0.9221853739393708,0.002355541912263094,0.9248053574878338,0.002619983548462934,6.3,False,ok
random_forest,0.9075312094119784,0.003107662988091089,0.9999999381062036,0.09246872869422518,10.64,False,ok
adaboost,0.9043787538354534,0.0038992873589773548,0.9051779640651965,0.0007992102297430526,2.88,False,ok
logistic_regression,0.9001622098589074,0.004396593987642067,0.9007412515584485,0.0005790416995411496,3.07,False,ok
svm_linear,0.8999525172000314,0.004473507595277208,0.9005661852928386,0.0006136680928071625,1.91,False,ok
extra_trees,0.8894759858592852,0.003906510667612321,0.9999999812885771,0.11052399542929192,14.42,False,ok
knn,0.887741638904253,0.0032882580373008105,0.9201037314294307,0.032362092525177744,10.14,False,ok
naive_bayes,0.8612119547373007,0.0029256069900106675,0.8617409483037584,0.0005289935664576362,0.41,False,ok
decision_tree,0.7490147662546288,0.0059074066385813835,0.9999999812885771,0.25098521503394833,2.18,False,ok
